 Nombre EPS ,Nombre IPS,Valor Autorizado por EPS ($),Valor Girado IPS ($),observación,Fecha proceso Giro Directo,Fecha Giro,PROCESO
SANITAS E.P.S.,CLINICA COLSANITAS S A," 22,071,600,915 "," 22,071,600,915 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FRESENIUS MEDICAL CARE COLOMBIA SA," 2,957,200,700 "," 2,957,200,700 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION VALLE DEL LILI," 2,863,226,163 "," 2,863,226,163 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA IMBANACO SAS," 2,253,205,487 "," 2,253,205,487 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,RIESGO DE FRACTURA SA," 2,010,869,120 "," 2,010,869,120 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE CANCEROLOGIA DEL NTE DE SANTANDER LTDA," 1,405,481,944 "," 1,405,481,944 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA UNIVERSIDAD DE LA SABANA," 1,356,673,571 "," 1,356,673,571 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNIDAD ONCOLOGICA SURCOLOMBIANA SAS," 1,288,609,068 "," 1,288,609,068 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION NEUMOLOGICA COLOMBIANA," 1,274,956,348 "," 1,274,956,348 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA UROS SAS," 1,129,248,919 "," 1,129,248,919 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA NEUROREHABILITAR LTDA," 1,095,233,697 "," 1,095,233,697 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD DE ONCOLOGIA Y HEMATOLOGIA DEL CESAR SAS," 1,024,559,825 "," 1,024,559,825 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT," 1,017,958,029 "," 1,017,958,029 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,AUDIFARMA SA," 993,336,795 "," 993,336,795 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ASOCIACION PROFAMILIA," 977,892,036 "," 977,892,036 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,AIR LIQUIDE COLOMBIA SAS," 845,352,168 "," 845,352,168 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INSTITUTO DE DIAGNOSTICO MEDICO SA," 811,134,665 "," 811,134,665 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,AVIDANTI SAS," 810,762,942 "," 810,762,942 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA MEDILASER SAS," 768,899,447 "," 768,899,447 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,MESSER COLOMBIA SA," 767,068,677 "," 767,068,677 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD MEDICA DE ESPECIALISTAS DIAGNOSTICO E IMAGENOLOGIA MEDSALUD SAS," 730,693,837 "," 730,693,837 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA," 712,393,976 "," 712,393,976 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,DIME CLINICA NEUROCARDIOVASCULAR SA," 684,265,018 "," 684,265,018 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,NEUROMEDICA SAS," 655,326,987 "," 655,326,987 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA NUESTRA SENORA DE LA PAZ," 628,848,560 "," 628,848,560 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA MED SAS," 626,652,666 "," 626,652,666 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA CASANARE SA," 612,358,725 "," 612,358,725 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,NATIONAL CLINICS CENTENARIO SAS," 603,282,229 "," 603,282,229 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION HOSPITAL DE LA MISERICORDIA," 598,500,342 "," 598,500,342 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO," 566,809,727 "," 566,809,727 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CIFEL CENTRO DE INVESTIGACION EN FISIATRIA Y ELECTRODIAGNOSTICO SAS," 556,987,728 "," 556,987,728 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,TADASHI SAS CENTROS DE IMAGENES ESPECIALIZADAS CIE," 548,750,558 "," 548,750,558 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO DE CANCEROLOGIA DE BOYACA SAS," 542,617,759 "," 542,617,759 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,LIGA CONTRA EL CANCER SECCIONAL RISARALDA," 524,207,502 "," 524,207,502 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,GASES INDUSTRIALES DE COLOMBIA SA," 519,361,345 "," 519,361,345 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA CHIA SA," 518,467,860 "," 518,467,860 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,AUDIOCOM SAS," 515,505,700 "," 515,505,700 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL DPTAL UNIV DEL QUINDIO SAN JUAN DE DIOS," 509,533,709 "," 509,533,709 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION SANTA FE DE BOGOTA," 503,173,251 "," 503,173,251 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA PORTOAZUL SA," 494,011,187 "," 494,011,187 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL MANUEL URIBE ANGEL," 492,644,529 "," 492,644,529 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL SAN RAFAEL DE TUNJA," 462,381,974 "," 462,381,974 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL PABLO TOBON URIBE," 454,800,089 "," 454,800,089 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,OXIGENOS DE COLOMBIA LTDA," 442,893,404 "," 442,893,404 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SERVICIOS MEDICOS INTEGRALES DE SALUD SAS," 438,814,807 "," 438,814,807 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA MEDICAL SAS," 434,781,789 "," 434,781,789 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ONCOMEDICA SA," 434,766,390 "," 434,766,390 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL CIVIL  EMPRESA SOCIAL DEL ESTADO," 434,354,703 "," 434,354,703 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA SAN FRANCISCO SA," 415,111,880 "," 415,111,880 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ADMINISTRADORA CLINICA LA COLINA SAS," 390,119,843 "," 390,119,843 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL UNIVERSITARIO DE LA SAMARITANA ESE," 388,191,602 "," 388,191,602 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL EMIRO QUINTERO CANIZARES," 385,975,462 "," 385,975,462 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,COMPANIA OPERADORA CLINICA HISPANOAMERICA SAS," 374,138,107 "," 374,138,107 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL," 372,276,427 "," 372,276,427 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO HOSPITALARIO SERENA DEL MAR SA," 356,092,017 "," 356,092,017 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ASOCIACION MEDELLIN DE LUCHA CONTRA EL CANCER," 347,464,590 "," 347,464,590 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA," 340,621,077 "," 340,621,077 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD MEDICA ANTIOQUENA SA SOMA," 332,590,703 "," 332,590,703 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,MULTISALUD SAS," 332,183,451 "," 332,183,451 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD INTEGRAL DE ESPECIALISTAS EN SALUD SAS," 326,738,897 "," 326,738,897 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE ESE," 309,344,946 "," 309,344,946 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INSTITUTO NACIONAL DE CANCEROLOGIA," 296,989,419 "," 296,989,419 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA SOMEDA LTDA," 291,221,130 "," 291,221,130 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CORPORACION CLINICA," 288,811,029 "," 288,811,029 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UROCAQ EU IPS," 287,409,976 "," 287,409,976 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO DE IMAGENES DIAGNOSTICAS CEDIM I P S SAS," 279,293,089 "," 279,293,089 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA SANTA ANA SA," 274,699,381 "," 274,699,381 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA INTERNACIONAL DE ALTA TECNOLOGIA CLINALTEC SAS," 272,194,992 "," 272,194,992 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL REGIONAL DE LA ORINOQUIA ESE," 271,695,329 "," 271,695,329 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,MEDIK PLUS IPS SAS," 269,373,462 "," 269,373,462 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,IMAGEN RADIOLOGICA DIAGNOSTICA SAS," 265,797,762 "," 265,797,762 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ADMINISTRADORA COUNTRY SAS," 263,265,526 "," 263,265,526 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,VIDAMEDICAL BOGOTA IPS SAS," 262,286,453 "," 262,286,453 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,PROMOTORA BOCAGRANDE SA," 256,319,253 "," 256,319,253 ",,2024-04-08,4/15/2024,I ABRIL
