Nombre EPS, Razón Social ,Valor Autorizado por EPS ($),Valor Giro a IPS ($),Fecha de giro,Observaciones
SANITAS,CLINICA COLSANITAS SA," 19,918,323,535.00 "," 19,918,323,535.00 ",4/12/2024,
SANITAS,CLINICA UROS S.A.S - TORRE A," 6,377,604,516.00 "," 6,377,604,516.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO DE NEIVA," 5,991,888,200.00 "," 5,991,888,200.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL DEPARTAMENTAL SAN ANTONIO DE PITALITO," 3,900,985,692.00 "," 3,900,985,692.00 ",4/12/2024,
SANITAS,CLINICA MEDILASER S.A.S.," 2,706,863,849.00 "," 2,706,863,849.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL DE GARZON," 2,661,090,876.00 "," 2,661,090,876.00 ",4/12/2024,
SANITAS,CLINICA MEDICO QUIRURGICA S.A," 1,969,545,981.00 "," 1,969,545,981.00 ",4/12/2024,
SANITAS,HEALTH & LIFE IPS SAS SIGLA H&L UCC SAS," 1,940,885,337.00 "," 1,940,885,337.00 ",4/12/2024,
SANITAS,CORPORACIÓN SALUD UN," 1,671,469,806.00 "," 1,671,469,806.00 ",4/12/2024,
SANITAS,UNIDAD ONCOLOGICA SURCOLOMBIANA S.A.S," 1,650,678,732.00 "," 1,650,678,732.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL DEPARTAMENTAL SAN ANTONIO DE PADUA DE LA PLATA," 1,560,811,627.00 "," 1,560,811,627.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE SANTANDER," 1,511,842,553.00 "," 1,511,842,553.00 ",4/12/2024,
SANITAS,INSTITUTO DE DIAGNOSTICO MEDICO S.A.," 1,471,469,380.00 "," 1,471,469,380.00 ",4/12/2024,
SANITAS,INTEGRAL SOLUTIONS SD SAS," 1,437,318,902.00 "," 1,437,318,902.00 ",4/12/2024,
SANITAS,E.S.E. CARMEN EMILIA OSPINA DE NEIVA," 1,430,499,775.00 "," 1,430,499,775.00 ",4/12/2024,
SANITAS,CLINICA CHICAMOCHA S.A," 1,373,526,007.00 "," 1,373,526,007.00 ",4/12/2024,
SANITAS,FUNDACION HOSPITAL DE LA MISERICORDIA," 1,253,269,663.00 "," 1,253,269,663.00 ",4/12/2024,
SANITAS,COMPAÑIA OPERADORA CLINICA HISPANOAMERICA SAS," 1,224,774,943.00 "," 1,224,774,943.00 ",4/12/2024,
SANITAS,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E," 1,211,799,167.00 "," 1,211,799,167.00 ",4/12/2024,
SANITAS,CHRISTUS SINERGIA CLINICA PALMA REAL S.A.S.," 1,152,861,453.00 "," 1,152,861,453.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE GARCIA ROVIRA," 1,136,696,172.00 "," 1,136,696,172.00 ",4/12/2024,
SANITAS,AVIDANTI SAS," 1,043,650,942.00 "," 1,043,650,942.00 ",4/12/2024,
SANITAS,SOCIEDAD DE ONCOLOGIA Y HEMATOLOGIA DEL CESAR S.A.S.," 1,038,783,102.00 "," 1,038,783,102.00 ",4/12/2024,
SANITAS,CLINICA BELO HORIZONTE SAS," 1,030,827,654.00 "," 1,030,827,654.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL EMIRO QUINTERO CAÑIZARES," 957,988,114.00 "," 957,988,114.00 ",4/12/2024,
SANITAS,NEFROUROS MOM SAS," 957,084,499.00 "," 957,084,499.00 ",4/12/2024,
SANITAS,FRESENIUS MEDICAL CARE COLOMBIA S.A.," 911,293,830.00 "," 911,293,830.00 ",4/12/2024,
SANITAS,FUNDACION VALLE DEL LILI," 891,684,260.00 "," 891,684,260.00 ",4/12/2024,
SANITAS,CLINICA REINA ISABEL SAS," 850,440,825.00 "," 850,440,825.00 ",4/12/2024,
SANITAS,SOCIEDAD INTEGRAL DE ESPECIALISTAS EN SALUD S.A.S SIGLA SIES SALUD S.A.S," 827,911,684.00 "," 827,911,684.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ," 817,792,635.00 "," 817,792,635.00 ",4/12/2024,
SANITAS,LIGA CONTRA EL CANCER RISARALDA," 787,715,642.00 "," 787,715,642.00 ",4/12/2024,
SANITAS,CLINICA CASANARE S.A," 773,428,273.00 "," 773,428,273.00 ",4/12/2024,
SANITAS,CLINICA DE CANCEROLOGIA DEL NORTE DE SANTANDER LTDA.," 759,196,494.00 "," 759,196,494.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN RAFAEL DE TUNJA," 758,188,592.00 "," 758,188,592.00 ",4/12/2024,
SANITAS,ORGANIZACION LADMEDIS S.A.S.," 757,407,723.00 "," 757,407,723.00 ",4/12/2024,
SANITAS,CENTRO ESPECIALIZADO DE UROLOGIA S.A.S," 723,437,153.00 "," 723,437,153.00 ",4/12/2024,
SANITAS,UNIDAD DE SALUD DE IBAGUE EMPRESA SOCIAL DEL ESTADO," 710,540,594.00 "," 710,540,594.00 ",4/12/2024,
SANITAS,RTS S.A.S," 706,319,190.00 "," 706,319,190.00 ",4/12/2024,
SANITAS,UCIS DE COLOMBIA S.A.S.," 699,185,230.00 "," 699,185,230.00 ",4/12/2024,
SANITAS,CLINICA JUAN N CORPAS LTDA.," 698,776,854.00 "," 698,776,854.00 ",4/12/2024,
SANITAS,JUNICAL MEDICAL S.A.S.," 676,237,494.00 "," 676,237,494.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO MARIA AUXILIADORA DE GARZON," 648,431,962.00 "," 648,431,962.00 ",4/12/2024,
SANITAS,CLÍNICA LA ESTANCIA S. A.," 634,656,104.00 "," 634,656,104.00 ",4/12/2024,
SANITAS,SOCIEDAD MEDICO QUIRÚRGICA NUESTRA SEÑORA DE BELÉN DE FUSAGASUGA S.A.S," 632,899,584.00 "," 632,899,584.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO INSTITUTO DE SALUD DE BUCARAMANGA," 625,901,495.00 "," 625,901,495.00 ",4/12/2024,
SANITAS,CLINICA INTERNACIONAL DE ALTA TECNOLOGIA CLINALTEC S.A.S.," 618,105,713.00 "," 618,105,713.00 ",4/12/2024,
SANITAS,LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANGA," 614,470,423.00 "," 614,470,423.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO," 601,908,914.00 "," 601,908,914.00 ",4/12/2024,
SANITAS,SOCIEDAD CLINICA EMCOSALUD S.A.," 589,916,088.00 "," 589,916,088.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL FEDERICO LLERAS ACOSTA," 543,549,117.00 "," 543,549,117.00 ",4/12/2024,
SANITAS,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA," 532,673,057.00 "," 532,673,057.00 ",4/12/2024,
SANITAS,HOSPITAL SAN VICENTE ESE," 529,253,913.00 "," 529,253,913.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA," 528,461,124.00 "," 528,461,124.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL CIVIL DE IPIALES," 525,607,538.00 "," 525,607,538.00 ",4/12/2024,
SANITAS,CENTRO DE CANCEROLOGÍA DE BOYACÁ SAS.," 524,548,760.00 "," 524,548,760.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO MUNICIPAL MANUEL CASTRO TOVAR," 509,558,382.00 "," 509,558,382.00 ",4/12/2024,
SANITAS,ESE HOSPITAL REGIONAL MANUELA BELTRAN," 488,392,660.00 "," 488,392,660.00 ",4/12/2024,
